49. Danh mục ngành/ chuyên ngành/ chuyên môn được đào tạo
Mã|Tên
049.05480213|Vẽ thiết kế mỹ thuật có trợ giúp bằng máy tính
049.05480218|Thiết kế và quản lý Website
049.05510102|Công nghệ kỹ thuật công trình giao thông
049.05510106|Công nghệ kỹ thuật nội thất và điện nước công trình
049.05510107|Công trình thủy lợi
049.05510114|Xây dựng công trình thủy điện
049.05510115|Xây dựng công trình mỏ
049.05510120|Thí nghiệm và kiểm tra chất lượng công trình xây dựng
049.05510202|Công nghệ kỹ thuật ô tô - máy kéo
049.05510205|Công nghệ kỹ thuật vỏ tàu thủy
049.05510206|Công nghệ kỹ thuật máy nông - lâm nghiệp
049.05510207|Công nghệ kỹ thuật máy và thiết bị hóa chất
049.05510208|Công nghệ kỹ thuật thủy lực
049.05510209|Công nghệ kỹ thuật kết cấu thép
049.05510210|Công nghệ kỹ thuật đo lường
049.05510212|Công nghệ chế tạo dụng cụ
049.05510217|Công nghệ hàn
049.05510301|Nhiệt điện
049.05510302|Thủy điện
049.05510305|Công nghệ kỹ thuật điều khiển tự động
049.05510306|Công nghệ kỹ thuật chiếu sáng đô thị
049.05510307|Công nghệ kỹ thuật điện tàu thủy
049.05510308|Công nghệ kỹ thuật điện đầu máy và toa xe
049.05510309|Công nghệ kỹ thuật điện máy bay
049.05510310|Công nghệ kỹ thuật điện máy mỏ
049.05510311|Công nghệ kỹ thuật thiết bị y tế
049.05510402|Công nghệ hóa hữu cơ
049.05510403|Công nghệ hóa vô cơ
049.05510405|Công nghệ hóa nhựa
049.05510407|Công nghệ hóa Silicat
049.05510408|Công nghệ điện hóa
049.05510411|Công nghệ sơn
049.05510413|Công nghệ sơn điện di
049.05510414|Công nghệ sơn ô tô
049.05510416|Công nghệ kỹ thuật vật liệu
049.05510420|Công nghệ gia công kim loại
049.05510515|Sản xuất bao bì xi măng
049.05510516|Sản xuất gạch Ceramic
049.05510517|Sản xuất gạch Granit
049.05510518|Sản xuất đá bằng cơ giới
049.05510519|Sản xuất vật liệu chịu lửa
049.05510520|Sản xuất vật liệu phụ trợ dùng trong đóng tàu
049.05510521|Sản xuất bê tông nhựa nóng
049.05510535|Sản xuất tấm lợp Fibro xi măng
049.05510601|Quản lý sản xuất công nghiệp
049.05510602|Công nghệ quản lý chất lượng
049.05510701|Công nghệ kỹ thuật hóa dầu
049.05510705|Kỹ thuật phân tích các sản phẩm hóa dầu và lọc dầu
049.05510706|Kỹ thuật xăng dầu
049.05510716|Vận hành trạm và đường ống dẫn dầu khí
049.05510903|Địa chất công trình
049.05510904|Địa chất thủy văn
049.05510905|Địa chất thăm dò khoáng sản
049.05510906|Địa chất dầu khí
049.05510916|Biên chế bản đồ
049.05510917|Hệ thống thông tin địa lý (GIS)
049.05510918|Quản lý thông tin tư liệu địa chính
049.05511003|Công nghệ hoàn thiện xuất bản phẩm
049.05511005|Kỹ thuật khai thác mỏ lộ thiên
049.05520115|Cơ khí động lực
049.05520116|Cơ khí hóa chất
049.05520117|Cơ khí chế tạo
049.05520118|Cơ - Điện mỏ
049.05520119|Cơ - Điện tuyển khoáng
049.05520120|Cơ - Điện nông nghiệp
049.05520128|Sửa chữa, lắp ráp xe máy
049.05520129|Sửa chữa, vận hành tàu cuốc
049.05520148|Sửa chữa cơ khí động lực
049.05520150|Bảo trì và sửa chữa thiết bị cơ điện
049.05520152|Bảo trì và sửa chữa thiết bị cơ khí
049.05520153|Bảo trì và sửa chữa thiết bị luyện kim
049.05520157|Bảo trì và sửa chữa thiết bị nhiệt
049.05520158|Bảo trì và sửa chữa máy công cụ
049.05520159|Bảo trì và sửa chữa ô tô
049.05520160|Bảo trì và sửa chữa khung, vỏ ô tô
049.05520161|Bảo trì và sửa chữa thiết bị cơ giới hạng nặng
049.05520162|Bảo trì và sửa chữa xe máy
049.05520164|Bảo trì và sửa chữa đầu máy, toa xe
049.05520165|Bảo trì và sửa chữa máy bay
049.05520166|Bảo trì và sửa chữa máy tàu thủy
049.05520167|Bảo trì và sửa chữa thiết bị vô tuyến vận tải
049.05520168|Bảo trì và sửa chữa hệ thống kỹ thuật vô tuyến khí tượng
049.05520169|Bảo trì và sửa chữa máy xây dựng và máy nâng chuyển
049.05520170|Bảo trì và sửa chữa máy, thiết bị công nghiệp
049.05520171|Bảo trì và sửa chữa máy nông lâm nghiệp
049.05520172|Bảo trì và sửa chữa thiết bị chế biến lương thực, thực phẩm
049.05520173|Bảo trì và sửa chữa máy mỏ và thiết bị hầm lò
049.05520174|Bảo trì và sửa chữa thiết bị sợi - dệt
049.05520175|Bảo trì và sửa chữa thiết bị may
049.05520176|Bảo trì và sửa chữa thiết bị hóa chất
049.05520177|Bảo trì và sửa chữa thiết bị khoan dầu khí
049.05520178|Bảo trì và sửa chữa thiết bị chế biến dầu khí
049.05520179|Bảo trì và sửa chữa thiết bị sản xuất các sản phẩm da
049.05520180|Bảo trì và sửa chữa thiết bị in
049.05520181|Bảo trì và sửa chữa thiết bị y tế
049.05520186|Vận hành máy đóng cọc và khoan cọc nhồi
049.05520187|Vận hành máy nông nghiệp
049.05520202|Kỹ thuật cơ điện sản xuất gốm, sứ, thủy tinh
049.05520205|Kỹ thuật máy lạnh và điều hoà không khí
049.05520215|Kỹ thuật thiết bị radar
049.05520216|Kỹ thuật nguồn điện thông tin
049.05520217|Kỹ thuật mạng ngoại vi và thiết bị đầu cuối
049.05520222|Điện tử công nghiệp và dân dụng
049.05520223|Điện công nghiệp và dân dụng
049.05520230|Điện toa xe đường sắt
049.05520236|Sửa chữa đồng hồ đo thời gian
049.05520242|Xây lắp đường dây và trạm điện
049.05520265|Hệ thống điện
049.05520266|Quản lý và vận hành lưới điện
049.05520303|Luyện kim đen
049.05520306|Xử lý chất thải công nghiệp và y tế
049.05520312|Cấp, thoát nước
049.05529003|Kỹ thuật tua bin nước
049.05529004|Kỹ thuật tua bin khí
049.05529014|Lặn hướng dẫn tham quan, du lịch
049.05540101|Công nghệ kỹ thuật chế biến và bảo quản lương thực
049.05540107|Chế biến hạt điều
049.05540108|Công nghệ kỹ thuật chế biến và bảo quản thực phẩm
049.05540109|Chế biến sữa
049.05540110|Sản xuất bột ngọt, gia vị
049.05540111|Công nghệ kỹ thuật sản xuất đường, bánh kẹo
049.05540113|Công nghệ kỹ thuật sản xuất muối
049.05540114|Sản xuất muối từ nước biển
049.05540115|Sản xuất muối công nghiệp
049.05540116|Công nghệ kỹ thuật lên men
049.05540120|Công nghệ kỹ thuật chế biến cồn, rượu, bia và nước giải khát
049.05540121|Chế biến nước quả cô đặc
049.05540122|Sản xuất đường glucoza
049.05540123|Sản xuất đường mía
049.05540127|Công nghệ kỹ thuật kiểm nghiệm chất lượng lương thực, thực phẩm
049.05540128|Quản lý chất lượng lương thực, thực phẩm
049.05540203|Công nghệ may và thời trang
049.05540207|Thiết kế may đo áo dài
049.05540208|Công nghệ giặt - là
049.05540209|Công nghệ da giày và sản xuất các sản phẩm từ da
049.05540210|Công nghệ kỹ thuật thuộc da
049.05540301|Công nghệ kỹ thuật chế biến lâm sản
049.05540302|Công nghệ kỹ thuật chế biến mủ cao su
049.05540303|Công nghệ chế biến tinh dầu và hương liệu mỹ phẩm
049.05580101|Thiết kế kiến trúc
049.05580102|Họa viên kiến trúc
049.05580103|Thiết kế cảnh quan, hoa viên
049.05580202|Xây dựng dân dụng và công nghiệp
049.05580203|Xây dựng cầu đường
049.05580206|Bê tông
049.05580207|Cốp pha - giàn giáo
049.05580208|Cốt thép - hàn
049.05580209|Nề - Hoàn thiện
049.05580211|Mộc dân dụng
049.05580212|Điện - nước
049.05620101|Công nghệ kỹ thuật chế biến và bảo quản nông sản
049.05620102|Công nghệ kỹ thuật chế biến sản phẩm cây nhiệt đới
049.05620103|Công nghệ kỹ thuật chế biến và bảo quản sản phẩm cây công
049.05620104|Công nghệ kỹ thuật chế biến và bảo quản sản phẩm cây ăn quả
049.05620106|Sản xuất thức ăn chăn nuôi
049.05620107|Nông vụ mía đường
049.05620109|Trồng trọt
049.05620110|Trồng trọt và bảo vệ thực vật
049.05620112|Trồng rau
049.05620119|Chăn nuôi - Thú y
049.05620125|Thủy lợi tổng hợp
049.05620126|Quản lý thủy nông
049.05620127|Quản lý nông trại
049.05620201|Lâm nghiệp
049.05620306|Khai thác và bảo vệ nguồn lợi thủy sản
049.05620307|Khai thác hàng hải thủy sản
049.05620310|Khuyến ngư
049.05640202|Dược thú y
049.05720201|Y sỹ y học cổ truyền
049.05720302|Y sỹ
049.05720303|Y sỹ y học dự phòng
049.05720304|Dân số y tế
049.05720401|Dược sỹ trung cấp
049.05760103|Công tác công đoàn
049.05760104|Lao động - Xã hội
049.05760201|Dịch vụ xã hội
049.05760202|Chăm sóc và hỗ trợ gia đình
049.05810101|Du lịch lữ hành
049.05810102|Du lịch sinh thái
049.05810108|Đặt giữ chỗ du lịch
049.05810109|Đại lý lữ hành
049.05810203|Nghiệp vụ lễ tân
049.05810204|Nghiệp vụ lưu trú
049.05810205|Nghiệp vụ nhà hàng, khách sạn
049.05810206|Nghiệp vụ nhà hàng
049.05810208|Kỹ thuật pha chế và phục vụ đồ uống
049.05810301|Thể dục thể thao
049.05810401|Dịch vụ thẩm mỹ
049.05810402|Tạo mẫu và chăm sóc sắc đẹp
049.05810403|Kỹ thuật chăm sóc tóc
049.05840103|Khai thác cảng hàng không
049.05840104|Khai thác vận tải đường biển
049.05840105|Khai thác vận tải thủy nội địa
049.05840106|Khai thác vận tải đường bộ
049.05840107|Khai thác vận tải đường không
049.05840108|Khai thác vận tải đường sắt
049.05840113|Vận hành máy tàu thủy
049.05840114|Dịch vụ trên tàu biển
049.05840118|Đặt chỗ bán vé
049.05840119|Dịch vụ trên tàu bay
049.05840124|Điều khiển tàu hỏa
049.05850101|Quản lý tài nguyên nước
049.05850107|Quản lý tài nguyên biển và hải đảo
049.05850108|Bảo tồn và phát triển đa dạng sinh học
049.05850111|An toàn phóng xạ
049.05850201|An toàn lao động
049.05850202|Bảo hộ lao động và môi trường
049.05860202|Đặc công
049.05860205|Điệp báo chiến dịch
049.05860207|Trinh sát
049.05860208|Trinh sát biên phòng
049.05860209|Trinh sát đặc nhiệm
049.05860210|Trinh sát kỹ thuật
049.05860211|Huấn luyện động vật nghiệp vụ
049.05860212|Kỹ thuật mật mã quân sự
049.05860213|Quân khí
049.05860214|Vũ khí bộ binh
049.05860215|Kỹ thuật cơ điện tăng thiết giáp
049.05860216|Sử dụng và sửa chữa thiết bị vô tuyến phòng không
049.05860217|Sửa chữa xe máy công binh
049.05860218|Sửa chữa và khai thác khí tài hóa học
049.05860219|Khí tài quang học
049.05860220|Phân tích chất độc quân sự
049.06140201|Giáo dục mầm non
049.06140202|Giáo dục tiểu học
049.06140203|Giáo dục đặc biệt
049.06140204|GDCD
049.06140206|Giáo dục thể chất
049.06140207|Huấn luyện thể thao
049.06140208|Giáo dục quốc phòng - an ninh
049.06140209|Sư phạm Toán học
049.06140210|Sư phạm Tin học
049.06140211|Sư phạm Vật lý
049.06140212|Sư phạm Hóa học
049.06140213|Sư phạm Sinh học
049.06140214|Sư phạm Kỹ thuật công nghiệp
049.06140215|Sư phạm Kỹ thuật nông nghiệp
049.06140216|Sư phạm Kinh tế gia đình
049.06140217|Sư phạm Ngữ văn
049.06140218|Sư phạm Lịch sử
049.06140219|Sư phạm Địa lý
049.06140220|Sư phạm Công tác Đội Thiếu niên Tiền phong HCM
049.06140221|Sư phạm Âm nhạc
049.06140222|Sư phạm Mỹ thuật
049.06140223|Sư phạm Tiếng Bana
049.06140224|Sư phạm Tiếng Êđê
049.06140226|Sư phạm Tiếng Khmer
049.06140229|Sư phạm Tiếng M`nông
049.06140230|Sư phạm Tiếng Xê đăng
049.06140231|Sư phạm Tiếng Anh
049.06210101|Kỹ thuật điêu khắc gỗ
049.06210211|Diễn viên kịch - điện ảnh
049.06210230|Sản xuất phim
049.06210231|Sản xuất phim hoạt hình
049.06210233|Phục vụ điện ảnh, sân khấu
049.06210235|Sản xuất nhạc cụ
049.06210405|Thiết kế mỹ thuật sân khấu - điện ảnh
049.06210408|Đúc, dát đồng mỹ nghệ
049.06210409|Chạm khắc đá
049.06210410|Gia công đá quý
049.06210411|Kim hoàn
049.06210413|Kỹ thuật sơn mài và khảm trai
049.06210414|Đồ gốm mỹ thuật
049.06210418|Trang trí nội thất
049.06210419|Thiết kế trang trí sản phẩm, bao bì
049.06210420|Thiết kế tạo dáng, tạo mẫu sản phẩm vật liệu xây dựng
049.06210423|Gia công và thiết kế sản phẩm mộc
049.06220201|Phiên dịch tiếng Anh hàng không
049.06220202|Phiên dịch tiếng Anh thương mại
049.06220203|Phiên dịch tiếng Anh du lịch
049.06220204|Phiên dịch tiếng Nhật kinh tế, thương mại
049.06220205|Phiên dịch tiếng Đức kinh tế, thương mại
049.06220206|Tiếng Anh
049.06220208|Tiếng Pháp
049.06220209|Tiếng Trung Quốc
049.06220211|Tiếng Hàn Quốc
049.06220212|Tiếng Nhật
049.06220213|Tiếng Thái
049.06220214|Tiếng Khơ me
049.06220215|Tiếng Lào
049.06222024|Ngôn ngữ học so sánh, đối chiếu
049.06310301|Giáo dục đồng đẳng
049.06320101|Phóng viên, biên tập đài cơ sở
049.06320201|Thư viện
049.06320301|Văn thư hành chính
049.06320305|Lưu trữ
049.06320306|Thư ký
049.06320308|Thư ký văn phòng
049.06320309|Bảo tàng
049.06320401|Phát hành xuất bản phẩm
049.06340113|Kinh doanh xuất bản phẩm văn hóa
049.06340116|Quản trị kinh doanh vận tải đường thủy nội địa
049.06340117|Quản trị kinh doanh vận tải đường bộ
049.06340118|Quản trị kinh doanh vận tải đường sắt
049.06340119|Quản trị kinh doanh vận tải hàng không
049.06340120|Quản trị kinh doanh lương thực - thực phẩm
049.06340121|Quản trị kinh doanh vật tư nông nghiệp
049.06340123|Quản trị kinh doanh vật tư xây dựng
049.06340124|Quản trị kinh doanh thiết bị vật tư văn phòng
049.06340125|Quản trị kinh doanh xăng dầu và gas
049.06340126|Quản trị kinh doanh bất động sản
049.06340127|Quản lý kinh doanh điện
049.06340134|Dịch vụ thương mại hàng không
049.06340136|Marketing du lịch
049.06340137|Marketing thương mại
049.06340138|Quản trị bán hàng
049.06340141|Logistic
049.06340201|Tài chính doanh nghiệp
049.06340203|Tài chính tín dụng
049.06340205|Bảo hiểm xã hội
049.06340302|Kế toán doanh nghiệp
049.06340303|Kế toán lao động, tiền lương và bảo hiểm xã hội
049.06340304|Kế toán vật tư
049.06340305|Kế toán ngân hàng
049.06340401|Quản trị nhân sự
049.06340404|Quản trị doanh nghiệp vừa và nhỏ
049.06340405|Quản trị nhà máy sản xuất may
049.06340406|Quản lý nhà đất
049.06340408|Quản lý giao thông đô thị
049.06340409|Quản lý khai thác công trình thủy lợi
049.06340410|Quản lý khu đô thị
049.06340411|Quản lý cây xanh đô thị
049.06340412|Quản lý công trình đường thủy
049.06340413|Quản lý công trình biển
049.06340414|Quản lý tòa nhà
049.06380201|Dịch vụ pháp lý
049.06380202|Công chứng
049.06420203|Vi sinh - hóa sinh
049.06440201|Quan trắc khí tượng hàng không
049.06440202|Quan trắc khí tượng nông nghiệp
049.06440203|Quan trắc hải văn
049.06440204|Quan trắc khí tượng bề mặt
049.06440206|Khí tượng học
049.06440207|Thủy văn
049.06460202|Thống kê doanh nghiệp
049.06460203|Hệ thống thông tin kinh tế
049.06480102|Kỹ thuật sửa chữa, lắp ráp máy tính
049.06480103|Thiết kế mạch điện tử trên máy tính
049.06480104|Truyền thông và mạng máy tính
049.06480202|Công nghệ thông tin (ứng dụng phần mềm)
049.06480204|Tin học văn phòng
049.06480205|Tin học viễn thông ứng dụng
049.06480206|Tin học ứng dụng
049.06480207|Xử lý dữ liệu
049.06480208|Lập trình máy tính
049.06480209|Quản trị cơ sở dữ liệu
049.06480210|Quản trị mạng máy tính
049.06480214|Vẽ và thiết kế trên máy tính
049.06480217|Thiết kế trang web
049.06480219|An ninh mạng
049.06510108|Xây dựng và hoàn thiện công trình thủy lợi
049.06510109|Xây dựng công trình thủy
049.06510110|Xây dựng và bảo dưỡng công trình giao thông đường sắt
049.06510111|Bảo dưỡng, sửa chữa công trình giao thông đường sắt đô thị
049.06510112|Lắp đặt cầu
049.06510113|Lắp đặt giàn khoan
049.06510116|Kỹ thuật xây dựng mỏ
049.06510117|Trùng tu di tích lịch sử
049.06510118|Kỹ thuật phục chế, gia công nhà gỗ cổ
049.06510119|Sửa chữa, bảo trì cảng hàng không
049.06510204|Công nghệ kỹ thuật đóng mới thân tàu biển
049.06510213|Công nghệ chế tạo vỏ tàu thủy
049.06510214|Công nghệ chế tạo, bảo dưỡng toa xe
049.06510215|Công nghệ chế tạo, bảo dưỡng đầu máy
049.06510216|Công nghệ ô tô
049.06510312|Công nghệ kỹ thuật điện tử, truyền thông
049.06510406|Công nghệ hóa nhuộm
049.06510409|Công nghệ chống ăn mòn kim loại
049.06510410|Công nghệ mạ
049.06510412|Công nghệ sơn tĩnh điện
049.06510415|Công nghệ sơn tàu thủy
049.06510417|Công nghệ nhiệt luyện
049.06510418|Công nghệ đúc kim loại
049.06510419|Công nghệ cán, kéo kim loại
049.06510422|Công nghệ kỹ thuật tài nguyên nước
049.06510501|Công nghệ sản xuất bột giấy và giấy
049.06510502|Công nghệ sản xuất alumin
049.06510503|Công nghệ sản xuất sản phẩm từ cao su
049.06510504|Công nghệ sản xuất chất dẻo từ Polyme
049.06510505|Công nghệ sản xuất ván nhân tạo
049.06510506|Công nghệ gia công kính xây dựng
049.06510507|Sản xuất vật liệu hàn
049.06510508|Sản xuất vật liệu nổ công nghiệp
049.06510509|Sản xuất các chất vô cơ
049.06510510|Sản xuất sản phẩm giặt tẩy
049.06510511|Sản xuất phân bón
049.06510512|Sản xuất thuốc bảo vệ thực vật
049.06510513|Sản xuất sơn
049.06510514|Sản xuất xi măng
049.06510522|Sản xuất sứ xây dựng
049.06510523|Sản xuất sản phẩm sứ dân dụng
049.06510524|Sản xuất sản phẩm kính, thủy tinh
049.06510525|Sản xuất pin, ắc quy
049.06510526|Sản xuất khí cụ điện
049.06510527|Sản xuất sản phẩm cách điện
049.06510528|Sản xuất dụng cụ đo điện
049.06510529|Sản xuất động cơ điện
049.06510530|Sản xuất cáp điện và thiết bị đầu nối
049.06510531|Sản xuất dụng cụ chỉnh hình
049.06510532|Sản xuất dụng cụ phục hồi chức năng
049.06510533|Sản xuất dụng cụ thể thao
049.06510534|Sản xuất vật liệu không nung và cốt liệu
049.06510536|Sản xuất gốm xây dựng
049.06510537|Sản xuất sản phẩm gốm dân dụng
049.06510538|Chế biến mủ cao su
049.06510603|Kiểm nghiệm chất lượng lương thực, thực phẩm
049.06510604|Kiểm nghiệm đường mía
049.06510605|Kiểm nghiệm bột giấy và giấy
049.06510606|Thí nghiệm và kiểm tra chất lượng cầu đường bộ
049.06510607|Phân tích cơ lý hóa xi măng
049.06510608|Phân tích các sản phẩm alumin và bauxit
049.06510609|Kiểm tra và phân tích hóa chất
049.06510610|Giám định khối lượng, chất lượng than
049.06510611|Đo lường dao động và cân bằng động
049.06510612|Kiểm tra phân tích kết cấu thép và kim loại
049.06510613|Đo lường và phân tích các thành phần kim loại
049.06510614|Kiểm nghiệm chất lượng cao su
049.06510615|Kiểm nghiệm, phân tích gốm, sứ, thủy tinh
049.06510702|Khoan khai thác dầu khí
049.06510703|Khoan thăm dò dầu khí
049.06510704|Sản xuất các sản phẩm lọc dầu
049.06510707|Phân tích các sản phẩm lọc dầu
049.06510708|Thí nghiệm các sản phẩm hóa dầu
049.06510709|Vận hành thiết bị hóa dầu
049.06510710|Vận hành trạm phân phối các sản phẩm dầu khí
049.06510711|Vận hành trạm sản xuất khí, khí hóa lỏng
049.06510712|Vận hành thiết bị chế biến dầu khí
049.06510713|Vận hành thiết bị khai thác dầu khí
049.06510714|Vận hành thiết bị lọc dầu
049.06510715|Vận hành thiết bị sản xuất phân đạm từ khí dầu mỏ
049.06510717|Chọn mẫu và hóa nghiệm dầu khí
049.06510718|Sửa chữa thiết bị khai thác dầu khí
049.06510801|Công nghệ chế tạo khuôn in
049.06510802|Công nghệ in
049.06510901|Công nghệ kỹ thuật địa chất
049.06510902|Công nghệ kỹ thuật trắc địa
049.06510907|Trắc địa - địa hình - địa chính
049.06510908|Đo đạc bản đồ
049.06510909|Đo đạc địa chính
049.06510910|Trắc địa công trình
049.06510911|Quan trắc khí tượng
049.06510912|Khảo sát địa hình
049.06510913|Khảo sát địa chất
049.06510914|Khảo sát thủy văn
049.06510915|Khoan thăm dò địa chất
049.06511001|Công nghệ kỹ thuật mỏ
049.06511002|Công nghệ tuyển khoáng
049.06511004|Kỹ thuật khai thác mỏ hầm lò
049.06511006|Vận hành thiết bị sàng tuyển than
049.06511007|Vận hành thiết bị sàng tuyển quặng kim loại
049.06511008|Khoan nổ mìn
049.06511009|Khoan đào đường hầm
049.06511010|Khoan khai thác mỏ
049.06511011|Vận hành thiết bị mỏ hầm lò
049.06511012|Vận hành trạm khí hóa than
049.06511013|Vận hành, sửa chữa trạm xử lý nước thải mỏ hầm lò
049.06520101|Kỹ thuật bảo dưỡng cơ khí tàu bay
049.06520102|Kỹ thuật máy nông nghiệp
049.06520103|Kỹ thuật lắp đặt ống công nghệ
049.06520104|Chế tạo thiết bị cơ khí
049.06520105|Chế tạo khuôn mẫu
049.06520106|Gia công ống công nghệ
049.06520107|Gia công và lắp dựng kết cấu thép
049.06520108|Gia công khuôn dưỡng và phóng dạng tàu thủy
049.06520109|Gia công lắp ráp hệ thống ống tàu thủy
049.06520110|Gia công và lắp ráp nội thất tàu thủy
049.06520111|Lắp ráp ô tô
049.06520112|Lắp ráp hệ thống động lực tàu thủy
049.06520113|Lắp đặt thiết bị cơ khí
049.06520114|Lắp đặt thiết bị lạnh
049.06520121|Cắt gọt kim loại
049.06520122|Gò
049.06520123|Hàn
049.06520124|Rèn, dập
049.06520125|Nguội chế tạo
049.06520126|Nguội sửa chữa máy công cụ
049.06520127|Nguội lắp ráp cơ khí
049.06520130|Sửa chữa máy tàu biển
049.06520131|Sửa chữa máy tàu thủy
049.06520132|Sửa chữa thiết bị dệt
049.06520133|Sửa chữa thiết bị may
049.06520134|Sửa chữa thiết bị chế biến gỗ
049.06520135|Sửa chữa thiết bị chế biến đường
049.06520136|Sửa chữa thiết bị chế biến lương thực, thực phẩm
049.06520137|Sửa chữa cơ khí ngành giấy
049.06520138|Sửa chữa thiết bị in
049.06520139|Sửa chữa thiết bị mỏ hầm lò
049.06520140|Sửa chữa cơ máy mỏ
049.06520141|Sửa chữa thiết bị hóa chất
049.06520142|Sửa chữa thiết bị luyện kim
049.06520143|Sửa chữa thiết bị khoan dầu khí
049.06520144|Sửa chữa thiết bị chế biến dầu khí
049.06520145|Sửa chữa máy nâng chuyển
049.06520146|Sửa chữa máy thi công xây dựng
049.06520147|Sửa chữa, lắp đặt thiết bị cơ khí xi măng
049.06520149|Bảo trì thiết bị cơ điện
049.06520151|Bảo trì hệ thống thiết bị cơ khí
049.06520154|Bảo trì hệ thống thiết bị cảng hàng không
049.06520155|Bảo trì hệ thống thiết bị công nghiệp
049.06520163|Bảo dưỡng, sửa chữa tàu điện
049.06520182|Vận hành cần, cầu trục
049.06520183|Vận hành máy thi công nền
049.06520184|Vận hành máy thi công mặt đường
049.06520185|Vận hành máy xây dựng
049.06520188|Vận hành, sửa chữa máy thi công đường sắt
049.06520189|Vận hành, sửa chữa máy tàu cá
049.06520190|Vận hành máy và thiết bị hóa chất
049.06520191|Điều khiển tàu cuốc
049.06520201|Kỹ thuật lắp đặt điện và điều khiển trong công nghiệp
049.06520202|Kỹ thuật cơ điện sản xuất gốm sứ, thủy tinh
049.06520203|Kỹ thuật cơ điện chế biến cao su
049.06520204|Kỹ thuật cơ điện mỏ hầm lò
049.06520205|Kỹ thuật máy lạnh và điều hoà không khí
049.06520206|Kỹ thuật điện cảng hàng không
049.06520207|Kỹ thuật điện tử cảng hàng không
049.06520208|Kỹ thuật điện tàu bay
049.06520209|Kỹ thuật điện tử tàu bay
049.06520210|Kỹ thuật điện, điện tử tàu biển
049.06520211|Kỹ thuật điện tử tàu thủy
049.06520212|Kỹ thuật thiết bị thông tin hàng không
049.06520213|Kỹ thuật dẫn đường hàng không
